bcookie,timestamp,ST_act_d1,ST_act_d2,ST_act_d3,ST_act_d4,ST_act_d5,ST_act_d6,ST_act_d7,ST_dwelltime_d1,ST_dwelltime_d2,ST_dwelltime_d3,ST_dwelltime_d4,ST_dwelltime_d5,ST_dwelltime_d6,ST_dwelltime_d7,ST_num_sessions_d1,ST_num_sessions_d2,ST_num_sessions_d3,ST_num_sessions_d4,ST_num_sessions_d5,ST_num_sessions_d6,ST_num_sessions_d7,ST_pageviews_d1,ST_pageviews_d2,ST_pageviews_d3,ST_pageviews_d4,ST_pageviews_d5,ST_pageviews_d6,ST_pageviews_d7,ST_cliks_d1,ST_cliks_d2,ST_cliks_d3,ST_cliks_d4,ST_cliks_d5,ST_cliks_d6,ST_cliks_d7,cluster
001fn6p86lr64,1401810817,1,0,0,0,0,0,1,194,0,0,0,0,0,14,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,churned
0025n0993kik5,1402176309,1,0,0,0,0,0,0,281,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,engaged
003ssc57qg4te,1402063647,1,0,0,1,0,1,1,757,0,0,536,0,91,139,2,0,0,1,0,1,1,3,0,0,2,0,1,2,3,0,0,13,0,0,0,engaged
004q84t9c2n0j,1402138291,1,0,0,0,0,1,1,0,0,0,0,0,190,254,1,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,churned
005s3ih9bpe3u,1401837448,1,1,1,0,0,0,0,1929,350,2627,0,0,0,0,2,1,2,0,0,0,0,4,2,6,0,0,0,0,2,8,4,0,0,0,0,engaged
0077dod9o9hrg,1401674051,1,0,1,0,0,1,1,0,0,95,0,0,335,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,1,0,0,0,engaged
007feup923kb7,1401768747,1,1,1,1,1,1,0,511,877,329,1971,405,51,0,2,2,1,2,2,1,0,2,4,2,4,3,1,0,2,8,4,8,6,1,0,engaged
0081qf59havun,1401675151,1,0,0,0,0,0,0,441,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,engaged
00867ah9nc5je,1401976344,1,0,0,0,1,0,1,76,0,0,0,159,0,488,1,0,0,0,1,0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,engaged
008h89p4pe714,1401906934,1,0,0,0,0,0,0,337,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
00a3p3t9orn1e,1401838241,1,0,0,0,0,0,0,297,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,engaged
00c7lll9jdaju,1401926559,1,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,churned
00ef6e18qhe2l,1402140324,1,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,engaged
00gb0ht9k84a5,1401718761,1,0,1,0,0,0,1,0,0,134,0,0,0,1386,1,0,2,0,0,0,1,1,0,2,0,0,0,4,2,0,0,0,0,0,0,engaged
00hmvbd9an7js,1401751234,1,1,1,0,0,0,0,4005,1071,1664,0,0,0,0,3,1,1,0,0,0,0,5,1,7,0,0,0,0,31,1,23,0,0,0,0,engaged
00i49sl9879f7,1401711928,1,0,1,1,0,0,0,0,0,121,966,0,0,0,1,0,1,1,0,0,0,1,0,1,3,0,0,0,1,3,0,0,0,0,0,engaged
00kgke1794dnt,1401669667,1,1,0,0,0,0,0,299,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,engaged
00mmc6993ftk5,1401825402,1,0,0,0,0,0,0,747,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,churned
